,tip,smoker,day
0,1.01,No,Sun
1,1.66,No,Sun
2,3.5,No,Sun
3,3.31,No,Sun
4,3.61,No,Sun
5,4.71,No,Sun
6,2.0,No,Sun
7,3.12,No,Sun
8,1.96,No,Sun
9,3.23,No,Sun
10,1.71,No,Sun
11,5.0,No,Sun
12,1.57,No,Sun
13,3.0,No,Sun
14,3.02,No,Sun
15,3.92,No,Sun
16,1.67,No,Sun
17,3.71,No,Sun
18,3.5,No,Sun
19,3.35,No,Sat
20,4.08,No,Sat
21,2.75,No,Sat
22,2.23,No,Sat
23,7.58,No,Sat
24,3.18,No,Sat
25,2.34,No,Sat
26,2.0,No,Sat
27,2.0,No,Sat
28,4.3,No,Sat
29,3.0,No,Sat
30,1.45,No,Sat
31,2.5,No,Sat
32,3.0,No,Sat
33,2.45,No,Sat
34,3.27,No,Sat
35,3.6,No,Sat
36,2.0,No,Sat
37,3.07,No,Sat
38,2.31,No,Sat
39,5.0,No,Sat
40,2.24,No,Sat
41,2.54,No,Sun
42,3.06,No,Sun
43,1.32,No,Sun
44,5.6,No,Sun
45,3.0,No,Sun
46,5.0,No,Sun
47,6.0,No,Sun
48,2.05,No,Sun
49,3.0,No,Sun
50,2.5,No,Sun
51,2.6,No,Sun
52,5.2,No,Sun
53,1.56,No,Sun
54,4.34,No,Sun
55,3.51,No,Sun
56,3.0,Yes,Sat
57,1.5,No,Sat
58,1.76,Yes,Sat
59,6.73,No,Sat
60,3.21,Yes,Sat
61,2.0,Yes,Sat
62,1.98,Yes,Sat
63,3.76,Yes,Sat
64,2.64,No,Sat
65,3.15,No,Sat
66,2.47,No,Sat
67,1.0,Yes,Sat
68,2.01,No,Sat
69,2.09,Yes,Sat
70,1.97,No,Sat
71,3.0,No,Sat
72,3.14,Yes,Sat
73,5.0,Yes,Sat
74,2.2,No,Sat
75,1.25,No,Sat
76,3.08,Yes,Sat
77,4.0,No,Thur
78,3.0,No,Thur
79,2.71,No,Thur
80,3.0,Yes,Thur
81,3.4,No,Thur
82,1.83,No,Thur
83,5.0,Yes,Thur
84,2.03,No,Thur
85,5.17,No,Thur
86,2.0,No,Thur
87,4.0,No,Thur
88,5.85,No,Thur
89,3.0,No,Thur
90,3.0,Yes,Fri
91,3.5,No,Fri
92,1.0,Yes,Fri
93,4.3,Yes,Fri
94,3.25,No,Fri
95,4.73,Yes,Fri
96,4.0,Yes,Fri
97,1.5,Yes,Fri
98,3.0,Yes,Fri
99,1.5,No,Fri
100,2.5,Yes,Fri
101,3.0,Yes,Fri
102,2.5,Yes,Sat
103,3.48,Yes,Sat
104,4.08,No,Sat
105,1.64,Yes,Sat
106,4.06,Yes,Sat
107,4.29,Yes,Sat
108,3.76,No,Sat
